Name,State,Region,Pressident,Start Year,End Year
,RUS,Europe,Lyndon B. Johnson,1967,1967.0
Six Day War Rescue,RUS,Europe,Lyndon B. Johnson,1967,1967.0
Sea of Japan Bumpings,RUS,Europe,Lyndon B. Johnson,1967,1967.0
,CAM,Asia,Lyndon B. Johnson,1968,1969.0
Buzzing of US Navy,EGY,Africa,Lyndon B. Johnson,1968,1968.0
Seizure of USS Pueblo,PRK,Asia,Lyndon B. Johnson,1968,1968.0
Chinese Fishing Boat Provocation,CHN,Asia,Richard Nixon,1969,1969.0
,PER,Latin America & Caribbean,Lyndon B. Johnson,1969,1969.0
Shooting Down of U.S. Plane,PRK,Asia,Richard Nixon,1969,1969.0
Cambodia Campaign in Vietnam War,CAM,Asia,Richard Nixon,1970,1970.0
Armenia detention,RUS,Europe,Richard Nixon,1970,1970.0
Jordanian Crisis/Black Semptember,"RUS, IRQ, SYR",Asia,Richard Nixon,1970,1970.0
,CHN,Asia,Richard Nixon,1971,1971.0
US/Cuba Ship Seizures,CUB,Latin America & Caribbean,Richard Nixon,1971,1971.0
,ECU,Latin America & Caribbean,Richard Nixon,1971,1971.0
Bombing of Chinese life boats,CHN,Asia,Richard Nixon,1972,1972.0
,ECU,Latin America & Caribbean,Richard Nixon,1972,1972.0
,RUS,Europe,Richard Nixon,1972,1972.0
Chilean Coup D'etat,CHL,Latin America & Caribbean,Richard Nixon,1973,1973.0
,LIB,Africa,Richard Nixon,1973,1973.0
Yom Kippur War/October War,RUS,Europe,Richard Nixon,1973,1973.0
,CUB,Latin America & Caribbean,Richard Nixon,1974,1974.0
Mayaguez crisis,CAM,Asia,Gerald Ford,1975,1975.0
Show of U.S. Planes,PRK,Asia,Gerald Ford,1975,1975.0
,ANG,Africa,Gerald Ford,1976,1992.0
Fishing Vessel Seizure,CUB,Latin America & Caribbean,Gerald Ford,1976,1976.0
,ISR,Asia,Gerald Ford,1976,1976.0
Evacuation of Beirut,LEB,Asia,Gerald Ford,1976,1976.0
,PRK,Asia,Gerald Ford,1976,1976.0
Panmunjom Tree Incident,PRK,Asia,Gerald Ford,1976,1976.0
,CUB,Latin America & Caribbean,Jimmy Carter,1977,1977.0
North Korea Hostilities,PRK,Asia,Jimmy Carter,1977,1978.0
"Russia, 1977",RUS,Europe,Jimmy Carter,1977,1977.0
Battle of Kolwezi,DRC,Africa,Jimmy Carter,1978,1978.0
US-USSR Tensions over Iran,RUS,Europe,Jimmy Carter,1978,1979.0
,CAN,N. America,Jimmy Carter,1979,1979.0
Caribbean task force,"CUB, RUS",Latin America & Caribbean,Jimmy Carter,1979,1979.0
